#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISPH5,http://ds.iris.edu
ZE|1013||DP2|62.420784|-150.262009|177.8|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1013||DPZ|62.420784|-150.262009|177.8|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1014||DP1|62.429493|-150.264267|175.6|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1014||DP2|62.429493|-150.264267|175.6|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1014||DPZ|62.429493|-150.264267|175.6|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1015||DP1|62.438481|-150.264716|176.3|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1015||DP2|62.438481|-150.264716|176.3|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1015||DPZ|62.438481|-150.264716|176.3|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1016||DP1|62.447191|-150.269728|175.8|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1016||DP2|62.447191|-150.269728|175.8|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1016||DPZ|62.447191|-150.269728|175.8|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1017||DP1|62.45583|-150.272099|181.9|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1017||DP2|62.45583|-150.272099|181.9|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1017||DPZ|62.45583|-150.272099|181.9|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1018||DP1|62.464822|-150.270711|198.0|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1018||DP2|62.464822|-150.270711|198.0|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1018||DPZ|62.464822|-150.270711|198.0|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1019||DP1|62.473801|-150.27098|199.9|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1019||DP2|62.473801|-150.27098|199.9|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1019||DPZ|62.473801|-150.27098|199.9|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1020||DP1|62.482667|-150.27504|212.0|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1020||DP2|62.482667|-150.27504|212.0|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1020||DPZ|62.482667|-150.27504|212.0|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1021||DP1|62.491673|-150.274669|205.8|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1021||DP2|62.491673|-150.274669|205.8|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1021||DPZ|62.491673|-150.274669|205.8|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1022||DP1|62.50021|-150.269662|203.9|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1022||DP2|62.50021|-150.269662|203.9|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1022||DPZ|62.50021|-150.269662|203.9|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1023||DP1|62.507966|-150.259981|192.5|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1023||DP2|62.507966|-150.259981|192.5|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1023||DPZ|62.507966|-150.259981|192.5|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1024||DP1|62.515339|-150.248743|204.9|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1024||DP2|62.515339|-150.248743|204.9|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1024||DPZ|62.515339|-150.248743|204.9|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1025||DP1|62.523016|-150.238845|213.2|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1025||DP2|62.523016|-150.238845|213.2|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1025||DPZ|62.523016|-150.238845|213.2|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1026||DP1|62.53186|-150.235428|218.3|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1026||DP2|62.53186|-150.235428|218.3|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1026||DPZ|62.53186|-150.235428|218.3|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1027||DP1|62.540577|-150.236285|214.6|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1027||DP2|62.540577|-150.236285|214.6|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1027||DPZ|62.540577|-150.236285|214.6|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1028||DP1|62.549146|-150.237719|221.8|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1028||DP2|62.549146|-150.237719|221.8|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1028||DPZ|62.549146|-150.237719|221.8|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1029||DP1|62.557383|-150.242199|190.6|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1029||DP2|62.557383|-150.242199|190.6|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1029||DPZ|62.557383|-150.242199|190.6|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1030||DP1|62.563896|-150.234212|163.3|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1030||DP2|62.563896|-150.234212|163.3|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1030||DPZ|62.563896|-150.234212|163.3|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1031||DP1|62.573483|-150.237997|191.4|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1031||DP2|62.573483|-150.237997|191.4|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1031||DPZ|62.573483|-150.237997|191.4|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1032||DP1|62.581898|-150.235371|192.5|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1032||DP2|62.581898|-150.235371|192.5|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1032||DPZ|62.581898|-150.235371|192.5|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1033||DP1|62.591765|-150.238487|198.1|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1033||DP2|62.591765|-150.238487|198.1|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1033||DPZ|62.591765|-150.238487|198.1|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1034||DP1|62.599844|-150.236138|212.4|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
